route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,LTC -2024 Spring Schedules,1,Route 1,,3,,70C2DA,0.0
2,LTC -2024 Spring Schedules,2,Route 2,,3,,0080C0,0.0
3,LTC -2024 Spring Schedules,3,Route 3,,3,,C28585,0.0
4,LTC -2024 Spring Schedules,4,Route 4,,3,,7373B9,0.0
5,LTC -2024 Spring Schedules,5,Route 5,,3,,00FF00,0.0
6,LTC -2024 Spring Schedules,6,Route 6,,3,,008080,0.0
7,LTC -2024 Spring Schedules,7,Route 7,,3,,9D3CFF,0.0
9,LTC -2024 Spring Schedules,9,Route 9,,3,,B36666,0.0
10,LTC -2024 Spring Schedules,10,Route 10,,3,,96BEFA,0.0
12,LTC -2024 Spring Schedules,12,Route 12,,3,,CA95FF,0.0
13,LTC -2024 Spring Schedules,13,Route 13,,3,,927EC2,0.0
15,LTC -2024 Spring Schedules,15,Route 15,,3,,00D5D5,0.0
16,LTC -2024 Spring Schedules,16,Route 16,,3,,00AA55,
17,LTC -2024 Spring Schedules,17,Route 17,,3,,FF2828,
19,LTC -2024 Spring Schedules,19,Route 19,,3,,71D0FF,
20,LTC -2024 Spring Schedules,20,Route 20,,3,,58ABAB,
24,LTC -2024 Spring Schedules,24,Route 24,,3,,FF9BCD,
25,LTC -2024 Spring Schedules,25,Route 25,,3,,DFDF00,
27,LTC -2024 Spring Schedules,27,Route 27,,3,,FE9CA4,
28,LTC -2024 Spring Schedules,28,Route 28,,3,,5555FF,
30,LTC -2024 Spring Schedules,30,Route 30,,3,,CF2985,
31,LTC -2024 Spring Schedules,31,Route 31,,3,,00B700,
33,LTC -2024 Spring Schedules,33,Route 33,,3,,BB77FF,
34,LTC -2024 Spring Schedules,34,Route 34,,3,,5959FF,
35,LTC -2024 Spring Schedules,35,Route 35,,3,,DBC004,
36,LTC -2024 Spring Schedules,36,Route 36,,3,,B43D61,
37,LTC -2024 Spring Schedules,37,Route 37,,3,,0098E1,
38,LTC -2024 Spring Schedules,38,Route 38,,3,,FF00FF,0.0
90,LTC -2024 Spring Schedules,90,Route 90,,3,,FF8A15,0.0
91,LTC -2024 Spring Schedules,91,Route 91,,3,,FF8000,0.0
92,LTC -2024 Spring Schedules,92,Route 92,,3,,FF8000,0.0
93,LTC -2024 Spring Schedules,93,Route 93,,3,,FF8000,0.0
94,LTC -2024 Spring Schedules,94,Route 94,,3,,FF8000,0.0
95,LTC -2024 Spring Schedules,95,Route 95,,3,,FF8000,0.0
